,X Axis,Y Axis,Z Axis
645047,-0.00607961,0.96185219,0.02397346
645049,-0.00607961,0.96185219,0.03014421
645051,0.00595915,0.96800506,0.03014421
645053,-0.00607961,0.95569932,0.03014421
645056,-0.00006026,0.96185219,0.02397346
645058,-0.00006026,0.96185219,0.03014421
645060,-0.00006026,0.96185219,0.03014421
645063,-0.00006026,0.96185219,0.03631496
645065,-0.00607961,0.96185219,0.03631496
645067,-0.00006026,0.98031092,0.04865646
645070,-0.00006026,0.96185219,0.04248571
645072,-0.00006026,0.96185219,0.04248571
645074,-0.00006026,0.96800506,0.04248571
645076,-0.00006026,0.96185219,0.03014421
645080,-0.00006026,0.96185219,0.03014421
645082,-0.00607961,0.96185219,0.03631496
645084,-0.01811838,0.95569932,0.03631496
645087,-0.00006026,0.96185219,0.03631496
645089,-0.00607961,0.96800506,0.03014421
645091,-0.00607961,0.96185219,0.02397346
645093,-0.00607961,0.96185219,0.02397346
645096,-0.00607961,0.96185219,0.01780272
645098,-0.00607961,0.96800506,0.01780272
645100,-0.02413779,0.9372406,0.00546122
645103,-0.00607961,0.96185219,0.02397346
645105,-0.00607961,0.96185219,0.02397346
645107,-0.00607961,0.95569932,0.03014421
645109,-0.00006026,0.95569932,0.03014421
645112,-0.00006026,0.95569932,0.03014421
645114,-0.00006026,0.96185219,0.02397346
645116,-0.01209903,0.9372406,0.00546122
645120,-0.00607961,0.96185219,0.02397346
645122,-0.00607961,0.96800506,0.03631496
645124,-0.00607961,0.96800506,0.03014421
645127,-0.00006026,0.96185219,0.03014421
645129,-0.00607961,0.96185219,0.03014421
645131,-0.00607961,0.96185219,0.03631496
645133,-0.00006026,0.96800506,0.03014421
645136,-0.00006026,0.96185219,0.04248571
645138,-0.00006026,0.96185219,0.03631496
645140,-0.00607961,0.95569932,0.03631496
645143,-0.00607961,0.96185219,0.03014421
645145,-0.00607961,0.96185219,0.03014421
645147,-0.00607961,0.96185219,0.03014421
645149,0.00595915,0.97415793,0.03631496
645152,-0.00006026,0.96185219,0.03631496
645154,-0.00006026,0.96185219,0.03631496
645156,-0.00006026,0.96185219,0.03631496
645159,-0.00006026,0.96185219,0.03631496
645161,-0.00607961,0.96800506,0.03631496
645164,-0.00607961,0.96800506,0.03014421
645167,-0.00006026,0.97415793,0.03631496
645169,-0.00006026,0.96800506,0.04248571
645171,-0.00607961,0.96185219,0.03631496
645173,-0.00607961,0.96185219,0.03014421
645176,-0.00607961,0.96185219,0.03014421
645178,-0.00607961,0.96185219,0.03014421
645180,-0.00607961,0.96185219,0.03014421
645183,-0.00607961,0.96800506,0.03631496
645185,-0.00607961,0.97415793,0.03631496
645187,-0.00607961,0.96800506,0.03014421
645190,-0.00607961,0.96800506,0.03014421
645192,-0.00607961,0.96800506,0.03014421
645194,-0.00607961,0.96800506,0.03014421
645196,-0.00006026,0.96185219,0.03014421
645199,-0.00607961,0.96185219,0.03014421
645201,-0.01209903,0.96185219,0.03014421
645203,-0.00006026,0.96185219,0.03014421
645207,-0.00006026,0.96185219,0.03631496
645209,-0.00006026,0.96800506,0.03014421
645211,-0.00607961,0.96800506,0.03014421
645213,-0.00607961,0.96185219,0.03014421
645216,-0.00607961,0.96185219,0.03631496
645218,-0.00607961,0.95569932,0.02397346
645220,-0.00607961,0.96185219,0.03014421
645223,-0.00607961,0.96185219,0.03014421
645225,-0.00607961,0.96185219,0.03014421
645227,-0.00607961,0.96185219,0.03014421
645230,-0.00607961,0.96800506,0.03631496
645232,-0.00607961,0.96800506,0.03631496
645234,0.00595915,0.97415793,0.03631496
645236,-0.00607961,0.96800506,0.03631496
645239,-0.00607961,0.96800506,0.03014421
645241,-0.00607961,0.96185219,0.03631496
645243,-0.00607961,0.96185219,0.03014421
645246,-0.00607961,0.95569932,0.03631496
645249,-0.00006026,0.95569932,0.03631496
645251,-0.00607961,0.97415793,0.04248571
645253,-0.00607961,0.96185219,0.03014421
645256,-0.00006026,0.96185219,0.02397346
645258,-0.00006026,0.95569932,0.02397346
645260,-0.00006026,0.96185219,0.01780272
645263,-0.00607961,0.96185219,0.02397346
645265,-0.00006026,0.96185219,0.03014421
645267,-0.01209903,0.94954634,0.03014421
645270,-0.00607961,0.96185219,0.03014421
645272,-0.00607961,0.96800506,0.03014421
645274,-0.00607961,0.96185219,0.03014421
645276,-0.00607961,0.96185219,0.03014421
645279,-0.00607961,0.96185219,0.02397346
645281,-0.00607961,0.96185219,0.02397346
645283,-0.01811838,0.93108773,0.01163197
645286,-0.00006026,0.96185219,0.02397346
645288,-0.00006026,0.96185219,0.02397346
645291,-0.01209903,0.96185219,0.02397346
645293,-0.00607961,0.95569932,0.02397346
645296,-0.00607961,0.96185219,0.02397346
645298,-0.00607961,0.95569932,0.03014421
645300,-0.00607961,0.9372406,0.01780272
645303,-0.00607961,0.96185219,0.03631496
645305,-0.00006026,0.96185219,0.03631496
645307,-0.00607961,0.95569932,0.03014421
645310,-0.00607961,0.96185219,0.03631496
645312,-0.00607961,0.96185219,0.03014421
645314,-0.00607961,0.96185219,0.03631496
645316,-0.00006026,0.96800506,0.03631496
645319,-0.00607961,0.96800506,0.03631496
645321,-0.00006026,0.96800506,0.03631496
645323,-0.00607961,0.96185219,0.03014421
645326,-0.00607961,0.95569932,0.03631496
645328,-0.00607961,0.96185219,0.03014421
645330,-0.00006026,0.96185219,0.03631496
645332,0.00595915,0.97415793,0.03631496
645336,-0.00006026,0.96185219,0.03014421
645338,-0.00006026,0.96185219,0.03631496
645340,-0.00006026,0.96185219,0.03631496
645343,-0.00607961,0.96800506,0.03631496
645345,-0.00607961,0.96185219,0.03631496
645347,-0.00607961,0.96185219,0.04248571
645349,-0.00607961,0.97415793,0.04248571
645352,-0.00006026,0.96800506,0.04248571
645354,-0.00006026,0.96185219,0.03631496
645356,-0.00607961,0.96800506,0.03014421
645359,-0.00607961,0.96800506,0.03631496
645361,-0.00607961,0.96185219,0.03014421
645363,-0.00607961,0.96800506,0.03014421
645366,-0.00607961,0.96185219,0.03014421
645368,-0.00607961,0.96185219,0.03014421
645370,-0.00006026,0.96800506,0.02397346
645372,-0.00607961,0.96800506,0.02397346
645376,-0.00607961,0.96185219,0.02397346
645378,-0.00607961,0.96185219,0.02397346
645380,-0.00607961,0.96185219,0.01780272
645383,-0.00006026,0.96185219,0.02397346
645385,-0.00607961,0.94954634,0.01780272
645387,-0.00607961,0.96185219,0.02397346
645389,-0.00607961,0.95569932,0.02397346
645392,-0.00607961,0.96800506,0.03014421
645394,-0.00006026,0.96185219,0.03014421
645396,-0.00006026,0.96800506,0.03014421
645399,-0.00006026,0.96800506,0.03014421
645401,0.00595915,0.96800506,0.03014421
645403,-0.00607961,0.96800506,0.03014421
645406,-0.00607961,0.96185219,0.03631496
645408,-0.00006026,0.96185219,0.03631496
645410,-0.00607961,0.96185219,0.03631496
645412,-0.00607961,0.96185219,0.03014421
645415,-0.00607961,0.96185219,0.03014421
645417,-0.00006026,0.98031092,0.04248571
645420,-0.00607961,0.96800506,0.03014421
645423,-0.00006026,0.96800506,0.02397346
645425,-0.00607961,0.96185219,0.03014421
645427,-0.00607961,0.96800506,0.02397346
645429,-0.00607961,0.96800506,0.02397346
645432,-0.00006026,0.97415793,0.02397346
645434,-0.01811838,0.96185219,0.02397346
645436,-0.00607961,0.96185219,0.02397346
645439,-0.00607961,0.96185219,0.02397346
645441,-0.00607961,0.96185219,0.01780272
645443,-0.00006026,0.96185219,0.02397346
645446,-0.00006026,0.95569932,0.02397346
645448,-0.00607961,0.95569932,0.02397346
645450,-0.02413779,0.9372406,0.01163197
645452,-0.00006026,0.96185219,0.02397346
645455,-0.00607961,0.96185219,0.02397346
645457,-0.00006026,0.96185219,0.01780272
645459,-0.00006026,0.96185219,0.01780272
645463,-0.00607961,0.96800506,0.02397346
645465,-0.00607961,0.96185219,0.03014421
645467,-0.01811838,0.93108773,0.01780272
645470,-0.00607961,0.96800506,0.03631496
645472,-0.00607961,0.96800506,0.02397346
645474,-0.00607961,0.96800506,0.03014421
645476,-0.00607961,0.96185219,0.03014421
645479,-0.00006026,0.97415793,0.03014421
645481,-0.00607961,0.96185219,0.03631496
645483,-0.00607961,0.95569932,0.02397346
645486,-0.00607961,0.96185219,0.03631496
645488,-0.00006026,0.96185219,0.03631496
645490,-0.00607961,0.96185219,0.03631496
645492,-0.00607961,0.96185219,0.03631496
645495,-0.00607961,0.96185219,0.03631496
645497,-0.00006026,0.96800506,0.03631496
645499,0.00595915,0.97415793,0.04248571
645502,-0.00006026,0.96800506,0.03631496
645505,-0.00006026,0.96185219,0.03631496
645507,-0.00006026,0.96185219,0.03631496
645509,-0.00607961,0.96185219,0.04248571
645512,-0.01209903,0.96185219,0.03631496
645514,-0.00607961,0.96185219,0.03631496
645516,-0.00006026,0.96800506,0.04248571
645519,-0.00006026,0.96800506,0.04248571
645521,-0.00006026,0.96185219,0.04248571
645523,-0.00607961,0.96185219,0.03631496
645526,-0.00607961,0.95569932,0.03631496
645528,-0.00607961,0.96185219,0.04248571
645530,-0.00607961,0.96185219,0.04248571
645532,-0.00607961,0.96800506,0.04248571
645535,-0.00607961,0.96185219,0.04248571
645537,-0.00607961,0.96185219,0.03631496
645539,-0.01209903,0.96185219,0.04248571
645542,-0.01209903,0.96185219,0.04248571
645544,-0.00607961,0.96185219,0.03631496
645547,-0.00607961,0.96185219,0.03631496
645549,-0.00607961,0.96185219,0.04248571
645552,-0.01209903,0.95569932,0.03631496
645554,-0.00006026,0.96185219,0.03014421
645556,-0.00607961,0.96185219,0.02397346
645559,-0.00006026,0.96185219,0.02397346
645561,-0.00006026,0.96800506,0.02397346
645563,-0.00006026,0.96185219,0.02397346
645566,-0.00006026,0.96185219,0.02397346
645568,-0.00006026,0.95569932,0.01163197
645570,-0.00006026,0.96185219,0.01780272
645572,-0.00607961,0.95569932,0.01780272
645575,-0.00607961,0.96185219,0.01780272
645577,-0.00607961,0.96185219,0.01780272
645579,-0.00607961,0.96185219,0.01780272
645582,-0.00006026,0.96185219,0.01780272
645584,0.01197851,0.98031092,0.02397346
645586,-0.00006026,0.97415793,0.01780272
645588,-0.00006026,0.96800506,0.01163197
645592,-0.00006026,0.96185219,0.01163197
645594,-0.00006026,0.96185219,0.01163197
645596,-0.00006026,0.96800506,0.01780272
645599,-0.00006026,0.96185219,0.01780272
645601,-0.01209903,0.97415793,0.03631496
645603,-0.00607961,0.96185219,0.02397346
645606,-0.00607961,0.96185219,0.02397346
645608,-0.00607961,0.96185219,0.01780272
645610,-0.00607961,0.96800506,0.02397346
645612,-0.00607961,0.97415793,0.02397346
645615,-0.00006026,0.96800506,0.03014421
645617,-0.01811838,0.94954634,0.01780272
645619,-0.00006026,0.96800506,0.03631496
645622,-0.00006026,0.96185219,0.03631496
645624,-0.00607961,0.96800506,0.03014421
645626,-0.00607961,0.96800506,0.03014421
645628,-0.00607961,0.96800506,0.03014421
645632,-0.00607961,0.96185219,0.03014421
645634,-0.02413779,0.9372406,0.01780272
645636,-0.00607961,0.96185219,0.03631496
645639,-0.00607961,0.96185219,0.03014421
645641,-0.00607961,0.96185219,0.03631496
645643,-0.00607961,0.96185219,0.03014421
645646,-0.00607961,0.96185219,0.03631496
645648,-0.00607961,0.95569932,0.03631496
645650,-0.00607961,0.9372406,0.01780272
645652,-0.00607961,0.96185219,0.03631496
645655,-0.00006026,0.96800506,0.03631496
645657,-0.00607961,0.96185219,0.04248571
645659,-0.00607961,0.96800506,0.04248571
645662,-0.00006026,0.96800506,0.04248571
