,X Axis,Y Axis,Z Axis
718807,-0.00006026,-1.01938164,-0.05007547
718809,0.00595915,-1.01938164,-0.05007547
718812,0.00595915,-1.01938164,-0.05007547
718814,0.00595915,-1.01938164,-0.05007547
718816,0.01197851,-1.01938164,-0.05007547
718819,0.00595915,-1.03168738,-0.05624622
718821,0.01799786,-1.02553451,-0.06241697
718823,0.01799786,-1.02553451,-0.05624622
718826,0.01799786,-1.01938164,-0.05624622
718828,0.01799786,-1.01322865,-0.05624622
718830,0.01799786,-1.01322865,-0.06241697
718833,0.01799786,-1.01322865,-0.06241697
718835,0.01197851,-1.01322865,-0.06858772
718837,0.02401733,-1.00707579,-0.06241697
718839,0.01799786,-1.00092292,-0.06858772
718842,0.02401733,-1.00092292,-0.06858772
718844,0.02401733,-1.00092292,-0.06241697
718846,0.02401733,-0.99476999,-0.06858772
718850,0.02401733,-0.99476999,-0.06241697
718852,0.03605604,-0.98861712,-0.06858772
718854,0.03003669,-0.98861712,-0.06241697
718856,0.02401733,-0.99476999,-0.06241697
718859,0.02401733,-0.98861712,-0.06858772
718861,0.02401733,-0.98861712,-0.06858772
718863,0.03003669,-0.98861712,-0.06241697
718866,0.02401733,-0.98861712,-0.06858772
718868,0.03003669,-0.98246419,-0.05624622
718870,0.01799786,-0.98246419,-0.06241697
718873,0.01799786,-0.98861712,-0.06241697
718875,0.01799786,-0.99476999,-0.05624622
718877,0.01799786,-0.99476999,-0.05624622
718879,0.01799786,-0.99476999,-0.05624622
718882,0.01197851,-0.99476999,-0.05624622
718884,0.00595915,-0.99476999,-0.03773403
718886,0.01197851,-1.00092292,-0.04390478
718889,0.01197851,-0.99476999,-0.03773403
718892,0.01197851,-1.00092292,-0.05007547
718894,0.01197851,-1.00707579,-0.05007547
718897,0.01799786,-1.00707579,-0.04390478
718899,0.01197851,-1.00707579,-0.04390478
718901,-0.00006026,-1.01322865,-0.05007547
718903,0.01799786,-1.00707579,-0.04390478
718906,0.01799786,-1.01322865,-0.04390478
718908,0.01799786,-1.01322865,-0.05624622
718910,0.01799786,-1.01938164,-0.05624622
718913,0.02401733,-1.01938164,-0.05624622
718915,0.01799786,-1.01938164,-0.06241697
718917,0.00595915,-1.03168738,-0.06858772
718920,0.02401733,-1.02553451,-0.06241697
718922,0.01799786,-1.01938164,-0.06858772
718924,0.01799786,-1.01938164,-0.06241697
718927,0.01799786,-1.02553451,-0.06858772
718929,0.01197851,-1.02553451,-0.06858772
718931,0.01799786,-1.02553451,-0.06858772
718934,-0.00006026,-1.03784025,-0.08709997
718937,0.02401733,-1.02553451,-0.07475847
718939,0.01799786,-1.01938164,-0.08092922
718941,0.02401733,-1.02553451,-0.08092922
718944,0.01799786,-1.01938164,-0.08092922
718946,0.01799786,-1.01938164,-0.08092922
718948,0.01799786,-1.01938164,-0.07475847
718951,0.00595915,-1.02553451,-0.09944147
718953,0.01197851,-1.01322865,-0.08092922
718955,0.01799786,-1.01322865,-0.08092922
718958,0.01197851,-1.01322865,-0.08092922
718960,0.01197851,-1.00707579,-0.08709997
718962,0.01197851,-1.00707579,-0.08709997
718964,0.01197851,-1.00707579,-0.08092922
718967,0.01197851,-1.00092292,-0.09327072
718969,0.01197851,-1.00707579,-0.08092922
718971,0.00595915,-1.00092292,-0.08092922
718974,-0.00006026,-1.00092292,-0.08092922
718977,0.00595915,-0.99476999,-0.07475847
718979,-0.00006026,-0.99476999,-0.07475847
718981,-0.00006026,-0.99476999,-0.07475847
718984,-0.00006026,-0.98861712,-0.06241697
718986,-0.00006026,-0.98861712,-0.06858772
718988,0.00595915,-0.99476999,-0.06241697
718991,0.00595915,-0.99476999,-0.06241697
718993,0.00595915,-0.99476999,-0.05624622
718995,0.01799786,-0.99476999,-0.05007547
718998,0.01799786,-1.00092292,-0.05624622
719000,0.02401733,-1.00092292,-0.04390478
719002,0.02401733,-1.00092292,-0.04390478
719004,0.01799786,-1.00707579,-0.04390478
719007,0.01197851,-1.00707579,-0.03773403
719009,0.01197851,-1.00707579,-0.03773403
719011,0.01197851,-1.01322865,-0.03773403
719014,0.01799786,-1.01322865,-0.03773403
719016,0.01799786,-1.01322865,-0.03773403
719019,0.01197851,-1.00707579,-0.03773403
719022,0.00595915,-1.01322865,-0.05007547
719024,-0.00006026,-1.01322865,-0.04390478
719026,0.00595915,-1.01322865,-0.04390478
719028,0.00595915,-1.00707579,-0.05007547
719031,0.00595915,-1.01322865,-0.05007547
719033,-0.00006026,-1.01322865,-0.05007547
719035,-0.00607961,-1.01938164,-0.05007547
719038,0.00595915,-1.01938164,-0.05624622
719040,0.00595915,-1.01938164,-0.05624622
719042,0.00595915,-1.01938164,-0.05624622
719044,0.00595915,-1.01938164,-0.05624622
719047,0.00595915,-1.01938164,-0.06241697
719049,0.00595915,-1.00707579,-0.06241697
719051,0.00595915,-1.01322865,-0.06858772
719054,0.00595915,-1.00092292,-0.05624622
719056,-0.00006026,-1.00092292,-0.06858772
719058,-0.00006026,-1.00092292,-0.06858772
719060,0.00595915,-1.00092292,-0.07475847
719064,-0.00006026,-1.00092292,-0.07475847
719066,0.00595915,-1.00092292,-0.07475847
719068,0.01197851,-0.99476999,-0.06858772
719071,-0.00006026,-0.99476999,-0.06858772
719073,-0.00006026,-1.00092292,-0.07475847
719075,-0.00006026,-1.00707579,-0.06858772
719078,-0.00006026,-1.00707579,-0.07475847
719080,0.00595915,-1.00707579,-0.07475847
719082,0.01197851,-1.01322865,-0.06858772
719084,0.01799786,-1.01322865,-0.06241697
719087,0.01197851,-1.01938164,-0.06858772
719089,0.00595915,-1.01938164,-0.06858772
719091,0.01197851,-1.02553451,-0.06858772
719094,0.00595915,-1.02553451,-0.07475847
719096,0.00595915,-1.02553451,-0.06858772
719098,0.00595915,-1.01938164,-0.06858772
719101,-0.00607961,-1.03168738,-0.06858772
719104,0.00595915,-1.01938164,-0.06858772
719106,0.00595915,-1.01938164,-0.06858772
719108,0.00595915,-1.02553451,-0.06858772
719111,0.01197851,-1.02553451,-0.06858772
719113,0.00595915,-1.01938164,-0.06858772
719115,0.00595915,-1.01938164,-0.06858772
719118,-0.01811838,-1.03168738,-0.08709997
719120,0.00595915,-1.01322865,-0.07475847
719122,0.00595915,-1.01322865,-0.06858772
719125,0.00595915,-1.01938164,-0.07475847
719127,0.00595915,-1.01938164,-0.07475847
719129,0.00595915,-1.01938164,-0.07475847
719131,0.01197851,-1.01938164,-0.07475847
719134,-0.00607961,-1.02553451,-0.08709997
719136,0.00595915,-1.00707579,-0.07475847
719138,0.01197851,-1.01322865,-0.07475847
719141,0.00595915,-1.00707579,-0.06858772
719143,-0.00006026,-1.00707579,-0.06858772
719145,-0.00006026,-1.01322865,-0.06858772
719148,0.00595915,-1.00707579,-0.06241697
719151,0.01197851,-1.00092292,-0.07475847
719153,0.01197851,-1.00707579,-0.06241697
719155,0.01799786,-1.00707579,-0.06241697
719158,0.02401733,-1.00707579,-0.06241697
719160,0.01799786,-1.00707579,-0.06241697
719162,0.01799786,-1.00092292,-0.05624622
719165,0.01799786,-1.00092292,-0.06241697
719167,0.02401733,-0.98861712,-0.05624622
719169,0.01799786,-1.00707579,-0.05624622
719171,0.02401733,-0.99476999,-0.05624622
719174,0.02401733,-0.99476999,-0.05624622
719176,0.03003669,-0.98861712,-0.05624622
719178,0.03003669,-0.99476999,-0.05624622
