,X Axis,Y Axis,Z Axis
62175,-0.02413779,-0.01645893,0.98043895
62178,-0.02413779,-0.01645893,0.9742682
62180,-0.02413779,-0.01645893,0.9742682
62182,-0.03617656,-0.01645893,0.98043895
62185,-0.03015715,-0.010306,0.9742682
62187,-0.03015715,-0.010306,0.9742682
62189,-0.03015715,-0.010306,0.9742682
62191,-0.02413779,-0.010306,0.98043895
62194,-0.02413779,-0.00415313,0.98043895
62196,-0.03015715,-0.010306,0.98043895
62198,-0.02413779,-0.010306,0.9742682
62201,-0.03015715,-0.010306,0.98043895
62203,-0.02413779,-0.010306,0.9742682
62205,-0.02413779,-0.01645893,0.9742682
62208,-0.02413779,-0.010306,0.9742682
62211,-0.03015715,-0.01645893,0.9742682
62213,-0.03015715,-0.01645893,0.9742682
62215,-0.03015715,-0.01645893,0.9742682
62218,-0.03015715,-0.01645893,0.96809745
62220,-0.03015715,-0.010306,0.96809745
62222,-0.02413779,-0.010306,0.9742682
62225,-0.02413779,-0.010306,0.9742682
62227,-0.02413779,-0.010306,0.9742682
62229,-0.02413779,-0.01645893,0.9742682
62231,-0.03015715,-0.010306,0.9742682
62234,-0.01811838,-0.00415313,0.9742682
62236,-0.03015715,-0.010306,0.9742682
62238,-0.02413779,-0.010306,0.98043895
62241,-0.02413779,-0.010306,0.98043895
62243,-0.02413779,-0.010306,0.98043895
62245,-0.03015715,-0.010306,0.98043895
62247,-0.03015715,0.00199974,0.98043895
62251,-0.03015715,-0.00415313,0.99278045
62253,-0.02413779,-0.010306,0.9742682
62255,-0.02413779,-0.010306,0.9742682
62258,-0.02413779,-0.00415313,0.98043895
62260,-0.02413779,-0.010306,0.98043895
62262,-0.02413779,-0.010306,0.9742682
62264,-0.02413779,-0.010306,0.9742682
62267,-0.03617656,-0.01645893,0.98043895
62269,-0.02413779,-0.010306,0.9742682
62271,-0.02413779,-0.01645893,0.98043895
62274,-0.02413779,-0.010306,0.9742682
62276,-0.02413779,-0.010306,0.98043895
62278,-0.03015715,-0.010306,0.98043895
62281,-0.03015715,-0.010306,0.98043895
62283,-0.04219592,-0.02876472,0.9619267
62285,-0.02413779,-0.010306,0.9742682
62287,-0.03015715,-0.00415313,0.9742682
62290,-0.02413779,-0.00415313,0.98043895
62292,-0.02413779,-0.010306,0.98043895
62295,-0.02413779,-0.010306,0.9742682
62298,-0.02413779,-0.010306,0.9742682
62300,-0.03015715,-0.0226118,0.9495852
62302,-0.03015715,-0.010306,0.9742682
62305,-0.02413779,-0.010306,0.9742682
62307,-0.03015715,-0.010306,0.9742682
62309,-0.03015715,-0.010306,0.9742682
62311,-0.03617656,-0.01645893,0.9742682
62314,-0.03015715,-0.010306,0.9742682
62316,-0.02413779,-0.00415313,0.96809745
62318,-0.03015715,-0.010306,0.9742682
62321,-0.03015715,-0.010306,0.9742682
62323,-0.03015715,-0.010306,0.98043895
62325,-0.03015715,-0.010306,0.9866097
62327,-0.03015715,-0.01645893,0.9742682
62330,-0.03015715,-0.01645893,0.96809745
62332,-0.01209903,-0.00415313,0.98043895
62334,-0.02413779,-0.010306,0.9742682
62338,-0.02413779,-0.010306,0.9742682
62340,-0.03015715,-0.010306,0.98043895
62342,-0.02413779,-0.00415313,0.98043895
62345,-0.02413779,-0.010306,0.9742682
62347,-0.02413779,-0.010306,0.98043895
62349,-0.02413779,-0.00415313,0.9866097
62351,-0.02413779,-0.010306,0.9742682
62354,-0.03015715,-0.010306,0.9742682
62356,-0.03015715,-0.010306,0.9742682
62358,-0.02413779,-0.010306,0.9742682
62361,-0.02413779,-0.01645893,0.9742682
62363,-0.02413779,-0.010306,0.9742682
62365,-0.02413779,-0.010306,0.98043895
62367,-0.03015715,-0.010306,0.9742682
62370,-0.02413779,-0.010306,0.9742682
62372,-0.02413779,-0.010306,0.9742682
62374,-0.02413779,-0.010306,0.98043895
62377,-0.02413779,-0.010306,0.96809745
62380,-0.02413779,-0.010306,0.96809745
62382,-0.03015715,-0.010306,0.98043895
62385,-0.03617656,-0.01645893,0.9742682
62387,-0.03015715,-0.010306,0.98043895
62389,-0.03015715,-0.010306,0.9742682
62391,-0.02413779,-0.010306,0.9742682
62394,-0.02413779,-0.01645893,0.98043895
62396,-0.02413779,-0.01645893,0.9742682
62398,-0.02413779,-0.01645893,0.9742682
62401,-0.01811838,-0.01645893,0.96809745
62403,-0.03015715,-0.010306,0.9742682
62405,-0.03015715,-0.010306,0.9742682
62407,-0.02413779,-0.010306,0.9742682
62410,-0.02413779,-0.010306,0.9742682
62412,-0.02413779,-0.010306,0.9742682
62414,-0.03015715,-0.010306,0.9742682
62417,-0.01811838,0.00199974,0.9742682
62419,-0.02413779,-0.010306,0.9742682
62422,-0.03015715,-0.010306,0.9742682
62425,-0.02413779,-0.00415313,0.98043895
62427,-0.02413779,-0.010306,0.9742682
62429,-0.03015715,-0.010306,0.98043895
62431,-0.03015715,-0.010306,0.9742682
62434,-0.03617656,-0.010306,0.9866097
62436,-0.03015715,-0.010306,0.9742682
62438,-0.03015715,-0.010306,0.96809745
62441,-0.02413779,-0.00415313,0.9742682
62443,-0.02413779,-0.00415313,0.9742682
62445,-0.03015715,-0.010306,0.9742682
62447,-0.03015715,-0.010306,0.9742682
62450,-0.04219592,-0.0226118,0.96809745
62452,-0.03015715,-0.010306,0.98043895
62454,-0.03015715,-0.010306,0.98043895
62457,-0.02413779,-0.010306,0.98043895
62459,-0.03015715,-0.01645893,0.9742682
62461,-0.03015715,-0.010306,0.9742682
62465,-0.03015715,-0.01645893,0.9742682
62467,-0.04219592,-0.02876472,0.95575595
62469,-0.03015715,-0.01645893,0.9742682
62471,-0.03015715,-0.010306,0.9742682
62474,-0.03015715,-0.010306,0.98043895
62476,-0.03015715,-0.010306,0.98043895
62478,-0.03015715,-0.010306,0.98043895
62481,-0.03015715,-0.010306,0.9742682
62483,-0.02413779,-0.01645893,0.95575595
62485,-0.03015715,-0.010306,0.98043895
62487,-0.02413779,-0.010306,0.98043895
62490,-0.02413779,-0.010306,0.98043895
62492,-0.02413779,-0.010306,0.9742682
62494,-0.03015715,-0.01645893,0.9742682
62497,-0.03015715,-0.01645893,0.9742682
62499,-0.01811838,-0.00415313,0.9742682
62501,-0.03015715,-0.010306,0.9742682
62504,-0.03015715,-0.010306,0.9742682
62507,-0.03015715,-0.01645893,0.9742682
62509,-0.03015715,-0.01645893,0.96809745
62511,-0.03015715,-0.01645893,0.96809745
62514,-0.03015715,-0.010306,0.9742682
62516,-0.02413779,-0.00415313,0.98043895
62518,-0.02413779,-0.010306,0.9742682
62521,-0.02413779,-0.00415313,0.98043895
62523,-0.02413779,-0.010306,0.98043895
62525,-0.03015715,-0.010306,0.98043895
62527,-0.02413779,-0.010306,0.9742682
62530,-0.03015715,-0.01645893,0.9742682
62532,-0.02413779,-0.010306,0.9866097
62534,-0.02413779,-0.010306,0.98043895
62537,-0.03015715,-0.010306,0.96809745
62539,-0.02413779,-0.01645893,0.9742682
62541,-0.02413779,-0.010306,0.9742682
62544,-0.02413779,-0.010306,0.9742682
62546,-0.03015715,-0.010306,0.9742682
62548,-0.03015715,-0.010306,0.9742682
62551,-0.03617656,-0.010306,0.9742682
62554,-0.03015715,-0.010306,0.9742682
62556,-0.03015715,-0.010306,0.98043895
62558,-0.02413779,-0.00415313,0.9742682
62561,-0.02413779,-0.00415313,0.9742682
62563,-0.03015715,-0.00415313,0.98043895
62565,-0.03015715,-0.01645893,0.98043895
62567,-0.03015715,-0.0226118,0.9742682
62570,-0.03015715,-0.01645893,0.9742682
62572,-0.03015715,-0.01645893,0.9742682
62574,-0.03015715,-0.010306,0.98043895
62577,-0.03015715,-0.010306,0.98043895
62579,-0.03015715,-0.010306,0.98043895
62581,-0.03015715,-0.010306,0.9742682
62584,-0.01209903,-0.00415313,0.9742682
62586,-0.02413779,-0.010306,0.9742682
62588,-0.02413779,-0.010306,0.9742682
62590,-0.02413779,-0.00415313,0.98043895
62594,-0.03015715,-0.010306,0.9742682
62596,-0.03015715,-0.010306,0.98043895
62598,-0.03015715,-0.01645893,0.98043895
62601,-0.03015715,-0.00415313,0.99278045
62603,-0.03015715,-0.010306,0.9742682
62605,-0.02413779,-0.010306,0.9742682
62607,-0.03015715,-0.01645893,0.9742682
62610,-0.02413779,-0.010306,0.9742682
62612,-0.03015715,-0.010306,0.9742682
62614,-0.03015715,-0.010306,0.96809745
62617,-0.03617656,-0.01645893,0.98043895
62619,-0.02413779,-0.010306,0.98043895
62621,-0.03015715,-0.010306,0.98043895
62624,-0.02413779,-0.010306,0.98043895
62626,-0.02413779,-0.010306,0.9742682
62628,-0.02413779,-0.010306,0.9742682
62630,-0.02413779,-0.010306,0.9742682
62633,-0.04219592,-0.02876472,0.9619267
62636,-0.02413779,-0.010306,0.9742682
62638,-0.03015715,-0.01645893,0.9742682
62641,-0.03015715,-0.010306,0.9742682
62643,-0.03015715,-0.010306,0.9742682
62645,-0.02413779,-0.010306,0.9742682
62647,-0.03015715,-0.01645893,0.9742682
62650,-0.03617656,-0.02876472,0.9495852
62652,-0.03015715,-0.01645893,0.9742682
62654,-0.02413779,-0.01645893,0.9742682
62657,-0.03015715,-0.01645893,0.9742682
62659,-0.02413779,-0.010306,0.9742682
62661,-0.03015715,-0.01645893,0.96809745
62663,-0.03015715,-0.01645893,0.9742682
62666,-0.01811838,-0.010306,0.9619267
62668,-0.03015715,-0.01645893,0.9742682
62670,-0.03015715,-0.010306,0.9742682
62673,-0.03015715,-0.01645893,0.9742682
62675,-0.03015715,-0.010306,0.98043895
62678,-0.03617656,-0.010306,0.98043895
62681,-0.03617656,-0.010306,0.98043895
62683,-0.02413779,0.00199974,0.99278045
62685,-0.03015715,-0.00415313,0.98043895
62687,-0.03015715,-0.00415313,0.98043895
62690,-0.02413779,-0.010306,0.9742682
62692,-0.02413779,-0.010306,0.98043895
62694,-0.03015715,-0.010306,0.98043895
62697,-0.03015715,-0.010306,0.9742682
62699,-0.03015715,-0.00415313,0.9866097
62701,-0.03015715,-0.010306,0.98043895
62703,-0.02413779,-0.01645893,0.9742682
62706,-0.03015715,-0.010306,0.9742682
62708,-0.03015715,-0.00415313,0.9742682
62710,-0.03015715,-0.010306,0.9742682
62713,-0.02413779,-0.01645893,0.9742682
62715,-0.02413779,-0.01645893,0.9742682
62717,-0.02413779,-0.010306,0.9742682
62721,-0.02413779,-0.010306,0.9742682
62723,-0.02413779,-0.010306,0.9742682
62725,-0.02413779,-0.010306,0.9742682
62727,-0.01811838,-0.010306,0.9742682
62730,-0.02413779,-0.010306,0.9742682
62732,-0.03015715,-0.01645893,0.98043895
62734,-0.03015715,-0.01645893,0.9742682
62737,-0.02413779,-0.010306,0.98043895
62739,-0.03015715,-0.01645893,0.9742682
