,X Axis,Y Axis,Z Axis
909096,-0.00607961,0.03891718,0.95575595
909100,-0.01209903,0.03891718,0.95575595
909102,-0.01811838,0.01430559,0.9372437
909104,-0.01209903,0.03276432,0.96809745
909107,-0.01209903,0.03276432,0.9742682
909109,-0.01811838,0.03276432,0.98043895
909111,-0.02413779,0.03276432,0.98043895
909113,-0.02413779,0.03276432,0.9866097
909116,-0.03015715,0.03891718,0.99278045
909118,-0.02413779,0.03891718,0.98043895
909120,-0.02413779,0.04507005,0.9989512
909123,-0.02413779,0.05122304,1.0112927
909125,-0.02413779,0.05122304,1.0112927
909127,-0.02413779,0.05737591,1.0112927
909129,-0.02413779,0.05737591,1.0112927
909132,-0.02413779,0.05737591,1.0112927
909134,-0.01811838,0.06352878,1.0236342
909136,-0.02413779,0.05737591,1.01746345
909139,-0.02413779,0.05737591,1.0236342
909142,-0.02413779,0.05122304,1.01746345
909144,-0.02413779,0.05737591,1.01746345
909147,-0.02413779,0.05122304,1.01746345
909149,-0.01811838,0.05122304,1.01746345
909151,-0.02413779,0.05122304,1.01746345
909153,-0.01811838,0.05122304,1.00512195
909156,-0.02413779,0.03891718,1.00512195
909158,-0.01811838,0.03891718,0.9989512
909160,-0.01811838,0.03891718,0.9989512
909163,-0.02413779,0.03891718,0.99278045
909165,-0.01811838,0.03276432,0.99278045
909167,-0.01811838,0.03891718,0.9989512
909170,-0.01811838,0.03891718,0.99278045
909172,-0.02413779,0.03276432,0.98043895
909174,-0.02413779,0.03891718,0.9866097
909176,-0.02413779,0.03891718,0.99278045
909179,-0.01811838,0.03891718,0.9866097
909181,-0.02413779,0.03891718,0.98043895
909184,-0.03015715,0.03891718,0.98043895
909187,-0.03617656,0.03276432,0.98043895
909189,-0.02413779,0.03891718,0.98043895
909191,-0.03015715,0.03891718,0.98043895
909193,-0.02413779,0.03891718,0.9742682
909196,-0.02413779,0.03891718,0.98043895
909198,-0.02413779,0.04507005,0.9742682
909200,-0.02413779,0.04507005,0.98043895
909203,-0.02413779,0.04507005,0.9742682
909205,-0.02413779,0.04507005,0.98043895
909207,-0.03015715,0.04507005,0.98043895
909210,-0.03015715,0.04507005,0.9742682
909212,-0.03015715,0.04507005,0.9742682
909214,-0.03015715,0.04507005,0.9742682
909216,-0.03015715,0.03891718,0.9742682
909219,-0.01811838,0.04507005,0.98043895
909221,-0.02413779,0.03891718,0.98043895
909223,-0.02413779,0.03891718,0.9742682
909227,-0.02413779,0.03891718,0.9742682
909229,-0.02413779,0.03891718,0.9742682
909231,-0.01811838,0.03891718,0.98043895
909233,-0.01811838,0.03276432,0.98043895
909236,-0.02413779,0.04507005,0.9989512
909238,-0.01811838,0.03891718,0.98043895
909240,-0.01811838,0.03891718,0.98043895
909243,-0.01811838,0.03891718,0.98043895
909245,-0.01811838,0.03891718,0.98043895
909247,-0.01811838,0.03891718,0.98043895
909249,-0.01209903,0.03891718,0.98043895
909252,-0.02413779,0.02661145,0.98043895
909254,-0.01209903,0.03891718,0.9866097
909256,-0.01209903,0.03891718,0.98043895
909259,-0.00607961,0.04507005,0.98043895
909261,-0.01209903,0.04507005,0.9742682
909263,-0.01209903,0.04507005,0.9742682
909266,-0.01209903,0.05122304,0.98043895
909268,-0.03015715,0.03276432,0.96809745
909271,-0.01209903,0.05737591,0.9866097
909273,-0.01209903,0.06352878,0.98043895
909276,-0.01811838,0.06968164,0.9866097
909278,-0.02413779,0.06352878,0.9866097
909280,-0.02413779,0.05737591,0.98043895
909283,-0.02413779,0.05122304,0.9742682
909285,-0.02413779,0.03891718,0.9495852
909287,-0.01811838,0.04507005,0.98043895
909289,-0.01209903,0.03891718,0.9742682
909292,-0.01209903,0.03276432,0.9742682
909294,-0.01209903,0.02661145,0.96809745
909296,-0.01209903,0.02045846,0.96809745
909299,-0.01811838,0.01430559,0.96809745
909301,-0.00607961,0.02045846,0.9619267
909303,-0.01209903,0.01430559,0.96809745
909306,-0.01209903,0.01430559,0.96809745
909308,-0.01811838,0.01430559,0.9619267
909310,-0.01209903,0.02045846,0.9619267
909313,-0.01811838,0.02661145,0.95575595
909316,-0.01209903,0.02661145,0.95575595
909318,-0.00607961,0.04507005,0.9742682
909320,-0.01209903,0.05122304,0.9619267
909323,-0.01811838,0.05122304,0.9619267
909325,-0.01811838,0.05737591,0.9619267
909327,-0.01811838,0.06352878,0.9619267
909329,-0.01811838,0.06968164,0.96809745
909332,-0.01811838,0.07583463,0.96809745
909334,-0.01811838,0.0819875,0.9742682
909336,-0.02413779,0.08814037,0.96809745
909339,-0.01811838,0.08814037,0.9619267
909341,-0.01811838,0.08814037,0.95575595
909343,-0.01811838,0.08814037,0.9495852
909345,-0.01811838,0.08814037,0.94341445
909348,-0.01811838,0.0819875,0.9372437
